professor_id,name_ko,name_en,university,department,primary_field,openalex_id,source_url,orcid,identity_status,scopus_id
P0095,장민정,Min Jung Chang,Yonsei University,College of Pharmacy,Pharmacology,A5077910323;A5137037277,https://pharmacy.yonsei.ac.kr/faculty/name_search.do?mode=view&userId=%2FhU%2FjtvPl4G37FWaFqNHgw%3D%3D&sosokcd=,0000-0002-8408-5907,verified,
P0096,전희정,Heejung Chun,Yonsei University,College of Pharmacy,Neurology,A5032767135,https://pharmacy.yonsei.ac.kr/faculty/name_search.do?mode=view&userId=dXv8FP61UI9MKwczX%2FLYNQ%3D%3D&sosokcd=1015058,0000-0002-6451-1542,verified,
P0097,정성훈,Seong Hoon Jeong,Yonsei University,College of Pharmacy,Molecular Biology,A5102729944,https://pharmacy.yonsei.ac.kr/faculty/name_search.do?mode=view&userId=J1pE1Vcus25pm3KQgs%2BrTA%3D%3D&sosokcd=1015058,0000-0002-7404-9056,probable,
P0098,최준정,Junjeong Choi,Yonsei University,College of Pharmacy,Cancer Research,A5056812442,https://pharmacy.yonsei.ac.kr/faculty/name_search.do?mode=view&userId=gq%2FL4c4KdYkPhh77oMSQmA%3D%3D&sosokcd=,0000-0003-1339-593X,verified,
P0099,한은아,Euna Han,Yonsei University,College of Pharmacy,"Public Health, Environmental and Occupational Health",A5041266811;A5115629878,https://pharmacy.yonsei.ac.kr/faculty/name_search.do?mode=view&userId=KJd3N9HMVNhlO3NKBpK6zg%3D%3D&sosokcd=,0000-0003-2656-7059,verified,
P0100,한정민,Jung Min Han,Yonsei University,College of Pharmacy,Molecular Biology,A5077849607,https://pharmacy.yonsei.ac.kr/faculty/name_search.do?mode=view&userId=oyvFbRitgy2Jsx1McvyjcQ%3D%3D&sosokcd=,0000-0003-3372-7575,verified,
P0101,박성규,Seong Gyu Park,Korea University,College of Pharmacy,Physiology,A5005178544,https://pharm.korea.ac.kr/faculty/8670/subview.do,,probable,
P0102,전영호,Young Ho Jeon,Korea University,College of Pharmacy,Molecular Biology,A5074209511;A5110660928,https://pharm.korea.ac.kr/faculty/8670/subview.do,0000-0002-4764-5127,verified,
P0103,최상은,Sang Eun Choi,Korea University,College of Pharmacy,Pathology and Forensic Medicine,A5071194102,https://pep.korea.ac.kr/,,probable,
P0104,정용우,Yong Woo Jung,Korea University,College of Pharmacy,Immunology,A5087798691,https://pharm.korea.ac.kr/faculty/8670/subview.do,0000-0002-5599-0553,verified,
P0105,김경임,Kyungim Kim,Korea University,College of Pharmacy,Geriatrics and Gerontology,A5026173579,https://pharm.korea.ac.kr/faculty/8670/subview.do,0000-0001-7997-696X,verified,
P0107,오수환,Soohwan Oh,Korea University,College of Pharmacy,Molecular Biology,A5030678508,https://sites.google.com/view/soohwanlab,0000-0003-4860-034X,verified,
P0108,김한준,Han‐Jun Kim,Korea University,College of Pharmacy,Biomedical Engineering,A5100722342;A5107980711;A5122210059;A5122966345,https://www.hanjunkim.co.kr/,0000-0001-9238-7238,verified,
P0109,김하룡,Haryong Kim,Korea University,College of Pharmacy,,,https://sites.google.com/view/envitox-ku/,0009-0003-5060-7126,verified,
P0110,신현무,Hyunmu Shin,Seoul National University,Graduate School of Biomedical Sciences,Immunology,A5104020946,http://biomed.snu.ac.kr/research-faculty/faculty?mode=view&profidx=53&sc=y,,probable,
