openalex_id,display_name,current_affiliation,shared_paper_count,seed_connection_count,connected_seed_professor_ids,web_title,web_url,auto_confidence,auto_reason,triage_tier
A5005178090,Hae‐Young Lee,Seoul National University; Yonsei University; New Generation University College; Seoul National University Hospital; National University College,139,13,P0007; P0028; P0030; P0043; P0067; P0092; P0206; P0324; P0332; P0383; P0434; P0446; P0477,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5024715707,Yon Ju Ryu,Ewha Womans University; Pusan National University,101,13,P0316; P0319; P0327; P0345; P0371; P0385; P0409; P0420; P0428; P0434; P0436; P0445; P0449,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5039708869,Lak Shin Jeong,Seoul National University; National University College,93,12,P0036; P0038; P0050; P0056; P0065; P0206; P0216; P0222; P0284; P0333; P0409; P0493,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5102724382,Yoon‐La Choi,Samsung Medical Center; Sungkyunkwan University,91,12,P0001; P0025; P0028; P0030; P0040; P0056; P0075; P0134; P0275; P0324; P0359; P0484,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5115587920,Dong Soo Lee,Advanced Institute of Convergence Technology; Cancer Research Institute; Chungnam National University; Ewha Womans University; Gyeongsangnam-do Agricultural Research and Extension Services; National University; National University College; New Generation University College; Pohang University of Science and Technology; Seoul National University; Seoul National University Bundang Hospital; Seoul National University Hospital; Seoul National University of Science and Technology; Society of Nuclear Medicine and Molecular Imaging,90,12,P0021; P0067; P0073; P0075; P0079; P0114; P0123; P0205; P0228; P0337; P0486; P0500,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5100616675,Sang Yup Lee,Korea Advanced Institute of Science and Technology; Yonsei University; Korea Institute of Brain Science; Intelligent Synthetic Biology Center; Technical University of Denmark,77,12,P0029; P0115; P0140; P0205; P0228; P0234; P0245; P0332; P0338; P0431; P0469; P0475,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5047330848,Jeong‐Min Kim,Eulji University; New Generation University College; Seoul National University Hospital; Chonnam National University Hospital; National University College; University of Lausanne,56,12,P0007; P0012; P0021; P0050; P0073; P0179; P0211; P0339; P0357; P0379; P0380; P0416,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5100656275,Kwang‐Il Kim,Seoul National University; Seoul National University Hospital; Seoul National University Bundang Hospital; Chonnam National University Hospital,56,12,P0021; P0028; P0205; P0206; P0219; P0240; P0279; P0319; P0333; P0428; P0434; P0446,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5008938100,Hoon Kook,Chonnam National University Hospital; Chonnam National University Hwasun Hospital,52,12,P0006; P0007; P0013; P0014; P0016; P0019; P0020; P0056; P0205; P0355; P0439; P0456,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5056221486,Yeo‐Kyeoung Kim,Veterans Health Service Medical Center,143,12,P0006; P0007; P0013; P0014; P0016; P0019; P0020; P0029; P0220; P0350; P0355; P0449,Impact of Community-Onset Methicillin-Resistant ...,https://pubmed.ncbi.nlm.nih.gov/30430778/,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
